1.1.1,Respondent information
1.2.2,"Please advise the full legal address and the country of incorporation of the legal entity (i.e. contracting party) providing custody and/or client money services in your jurisdiction and responding to this questionnaire. If applicable, please also provide this information for the local delegate if different from the contracting entity"
1.2.3,"Please state the full legal addresses of your head office and the locations and full legal addresses of any departments that service us (e.g. processing hubs, including outsourced suppliers)."
1.2.4,Please provide an overview of your expertise in the market and how you differentiate yourselves from your competitors.
1.3.1,"Which official body regulates your business (including banking, securities services and client money)? If they license or provide a formal approval of your business, how frequently does this need to be renewed? Please provide a copy of the current licence or approval notification ."
1.3.2,"Has your regulator(s) raised any material issues in respect of your banking, securities services and client money activities within the last 12 months?"
1.3.3,"If you are a branch of an entity incorporated in another country, please explain the division of regulatory responsibility between your host and home state regulators or advise if not applicable."
1.3.4,Please confirm that you comply with local regulatory requirements in relation to the provision of securities services or client money services in your jurisdiction.
1.3.5,"Have you been subject to any other regulatory or similar fines or actions/decisions by authorities against you during the last 12 months? If yes, please provide details."
1.3.6,Please confirm which of the following criteria you meet in order to serve as an eligible custodian under Rule 17(f)5 of the US Investment Company Act 1940. Based on your selection below please provide documentation of your Rule 17(f)5 eligibility status.
1.3.7,"Please confirm which of the following criteria you meet to be an ""approved bank"" under the UK Financial Conduct Authority (FCA) guidelines:"
1.3.9,Please confirm which of the following criteria you meet to comply with the current European Union (EU) directives and regulations applicable to Alternative Investment Fund (AIF) and Undertakings for Collective Investment in Transferable Securities (UCITS).
1.3.10,"Please confirm that you are subject to effective prudential regulation, including minimum capital requirements?"
1.3.11,"Have your regulators required your organisation to undertake any stress testing to ensure your risk management and capital planning decisions can sufficiently withstand adverse market events? If yes, please provide details."
1.3.12,Please list the countries which  your jurisdiction's financial regulator has a co-operation agreement with.
1.4.2,What is your relationship to your group?
1.4.3,Please provide an organisational chart which clearly indicates  in which strategic business area your securities services business fits and highlight if there have been any changes in the last 12 months.
1.4.3.1,"Do you or any related organisational units / affiliates offer and provide asset management services, collateral management services, prime brokerage services and/or risk management services or similar services?"
1.4.3.2,Please confirm that your firm has measures to identify and prevent potential conflict of interests between those services listed above and your securities services.
1.4.4,"Group financial performance. Please complete the following matrix for your group. All financial data questions to be reported in your base (group accounting) currency in millions. These figures must reconcile to your most recent, and the preceding year, annual report."
1.4.5,In order to judge the materiality of your local securities services business (i.e. in relation to the rest of your organisation) please complete the following table for your last financial year.
1.4.6,"Please state the latest available Basel II and estimated Basel III ratios (where available). If your local regulators specify more stringent requirements than the Basel Agreement, please indicate the requirements and whether you comply."
1.4.7,Please state the credit ratings of the contracting party in the table below.
1.4.8,"Please provide a copy (in English) of the latest annual report or a link to a website for the same documents for the contracting party and, if applicable, the local delegate. If not available, please provide similar details for the parent organisation."
1.4.9,Please confirm if your organisation is considered a systematically important financial institution as defined by the Financial Stability Board/Basel Committee on Banking Supervision or as defined in the jurisdiction where it is registered.
1.5.1,Please confirm that you maintain adequate insurance policies to cover
1.5.2,Who reviews the adequacy of your insurance cover?
1.5.3,How often is the adequacy of your insurance cover reviewed?
1.6.1,Briefly outline your group's overall business strategy identifying expected areas of growth and contraction. Please include details of future investment expenditure planned for the next 24 months.
1.6.2,"In the last 12 months have there been any changes to your business activities which are relevant to the services that you provide to your securities services or client money clients? If yes, please provide details."
1.6.3,"Do you undertake other business activities which could compromise your ability to provide securities services or client money services? If yes, please provide details."
1.6.4,Please outline upcoming business development priorities for securities services or client money over the next 24 months.
1.6.5,Please outline any regulatory changes being implemented that will impact your securities services  or client money business strategy over the next 24 months.
1.7.1,Is your securities services or client money operations department (e.g. including the systems used) a segregated unit from any trading/investment banking activity?
1.7.2,"Where you have offshored or centralised activities or functions within your organisation please confirm which activities are included (e.g. instruction capture, matching, settlements, reconciliations, corporate actions)."
1.7.3,"Where your organisation has outsourced activities or functions to a third-party provider, please confirm which activities are included (e.g. instruction capture, matching, settlements, reconciliations, corporate actions)."
1.7.4,"Does your organisation plan to outsource any aspect of the securities services or client money services or operational processes in your market to another part of your group or to a third party within the next 12 months? If yes, please provide details."
1.7.5,"Where you have offshored or centralised activities or functions within your organisation does your organisation have any further plans to offshore or centralise any aspect of the custodial and/or client money services or operational processes in your market to another office or location within the next 12 months? If yes, please provide details."
1.7.6,"Where you have offshored or centralised activities or functions within your organisation, are there any legal or regulatory changes planned for your market which will affect the offshored or centralised model(s) you employ? If yes, please provide details."
1.7.7,"Are there any legal or regulatory changes planned for your market which will affect the outsourcing models you employ? If yes, please provide details."
1.7.8,"Where you have offshored or centralised activities or functions within your organisation, how are they monitored by management in the home jurisdiction?"
1.7.8.1,"Where you have offshored or centralised activities or functions within your organisation, who has ownership of the processing activities (i.e. accountable for service issues impacting clients) that have been offshored or centralised within your organisation?"
1.7.9,Are there contracts and Service Level Agreements (SLA) between you and the entities to which activities and/or functions have been outsourced or offshored?
1.7.10,"Do you have an exit strategy (policies and procedures to ensure data protection, retention and retrieval) when terminating a contract or business relationship with a third-party supplier?"
1.7.11,"Please confirm that you have all necessary regulatory approvals in place, for outsourced and/or offshored activity."
1.7.12,Please describe the procedures in place to monitor the service provided. Please specify the MIS  used and the frequency with which it is reviewed.
1.7.13,Please confirm that you receive and review a copy of the internal and external audit reports for offshore and outsourced services.
1.7.14,"Where your organisation has outsourced processing activities to a third party (i.e. not the legal entity that has been contracted with for the provision of services), what is the relationship of that third party to your parent organisation?"
1.7.15,"Where your organisation has offshored processing activities to a centralised operational hub(s), what is the relationship of the hub(s) to your organisation?"
1.7.16,Which critical services provided by external entities do you include in your risk assessment?
1.7.17,Do you have plans in place to substitute critical services if the third-party is no longer able to continue?
1.7.18,"Please confirm if the following assessments, together with performance reviews, form part of your ongoing monitoring of critical external entities?"
